Name,class,Avg,"Patch
","Grob
","Gluth
",Thad,"Anub
","Grand Wid
","Maexx
","Raz
","Gothik
",Four ,Noth ,"Heig
",Loath,"Saph
",KT,,,,,
Chundus,wr,95,99,99,99,99,99,96,99,91,86,92,99,98,99,99,97,,,,,
Moehawk,dk,84,88,94,96,93,99,97,60,78,72,81,93,90,84,77,77,,,,,
Joepepper,wr,83,88,92,94,95,96,85,66,82,75,86,94,92,97,97,29,,,,,
Getsomefudge,dk,78,86,90,94,81,87,88,84,90,45,81,90,77,65,62,71,,,,,
Dreamivitz,rg,75,80,83,90,75,84,75,76,68,11,47,90,88,80,48,81,,,,,
Arfie,pa,74,72,93,89,73,91,91,52,86,56,81,90,89,85,71,19,,,,,
Renray,dr,73,72,94,97,62,95,70,17,90,40,93,84,92,90,18,57,,,,,
Talhorn,rg,73,77,82,91,80,90,91,91,83,92,0,90,86,83,38,57,,,,,
Shinaruh,dk,72,72,85,87,72,77,85,58,68,49,86,86,79,72,58,59,,,,,
Bucklebeary,dr,70,85,81,83,65,79,73,72,75,0,75,90,88,58,63,29,,,,,
Eggwoll,pa,66,80,83,91,68,91,63,40,65,15,66,84,86,90,25,61,,,,,
Kelsier,rg,64,76,92,87,65,91,77,85,81,42,54,84,84,81,4,3,,,,,
Papacap,mg,62,63,69,68,52,86,72,19,62,13,80,85,74,47,34,88,,,,,
Kitsunehq,ht,57,49,69,78,43,64,47,2,63,25,68,85,83,39,72,39,,,,,
Scadattle,wl,57,69,38,83,64,79,29,34,72,20,31,86,50,65,51,71,,,,,
Darkdiesel,dk,50,3,83,67,63,64,51,48,71,28,54,78,72,56,5,12,,,,,
Irtz,sh,49,24,75,50,56,54,43,41,48,55,68,78,75,49,35,33,,,,,
Myyrx,wl,44,38,31,40,41,30,59,28,51,9,63,73,64,39,50,10,,,,,
Evokelock,wl,43,57,60,31,13,39,19,35,38,30,53,77,71,39,6,52,,,,,
Khrazed,wl,42,58,62,47,34,39,44,50,48,9,22,74,36,29,41,50,,,,,
Hobbrovsky,dk,31,69,31,32,23,43,40,7,37,28,17,89,76,42,21,55,,,,,
Bigwiggy,pa,59,55,87,97,56,16,42,21,82,8,85,66,90,76,16,69,,,,,
Jekkus,sh,73,75,80,76,60,60,75,64,75,20,50,98,83,86,75,76,,,,,
Waddlet,pa,60,21,27,83,86,93,43,86,10,62,89,91,73,47,38,32,,,,,
Cogg,pr,59,87,25,88,61,40,86,43,50,71,76,95,62,62,0,75,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,Name,Avg,"Patchwerk
2:12","Grobbulus
1:34","Gluth
1:21","Thaddius
4:07","Anub’Rekhan
1:04","Grand Widow Faerlina
1:13","Maexxna
1:34","Instructor Razuvious
1:41","Gothik the Harvester
4:53","The Four Horsemen
2:05","Noth the Plaguebringer
1:21","Heigan the Unclean
1:38","Loatheb
2:57",,,,"Sartharion
3:23","Naxxramas
1:24:09"
,,,Cogg,,,,,,,,,,,,,,,,,,,
