variable,group,value,class
druid,Patch,81,dr
druid,Grob,84,dr
druid,Gluth,97,dr
druid,Thad,86,dr
druid,Anub,77,dr
druid,Widow,74,dr
druid,Maex,80,dr
druid,Noth,90,dr
druid,Heigan,80,dr
druid,Loatheb,82,dr
druid,Raz,89,dr
druid,Gothik,15,dr
druid,Four,89,dr
druid,Saph,93,dr
druid,KT,79,dr
warrior,Patch,85,wr
warrior,Grob,75,wr
warrior,Gluth,90,wr
warrior,Thad,90,wr
warrior,Anub,88,wr
warrior,Widow,90,wr
warrior,Maex,94,wr
warrior,Noth,90,wr
warrior,Heigan,79,wr
warrior,Loatheb,89,wr
warrior,Raz,79,wr
warrior,Gothik,91,wr
warrior,Four,91,wr
warrior,Saph,86,wr
warrior,KT,25,wr
paladin,Patch,61,pa
paladin,Grob,83,pa
paladin,Gluth,92,pa
paladin,Thad,87,pa
paladin,Anub,89,pa
paladin,Widow,65,pa
paladin,Maex,71,pa
paladin,Noth,88,pa
paladin,Heigan,70,pa
paladin,Loatheb,77,pa
paladin,Raz,78,pa
paladin,Gothik,80,pa
paladin,Four,78,pa
paladin,Saph,82,pa
paladin,KT,78,pa
DK,Patch,88,dk
DK,Grob,91,dk
DK,Gluth,80,dk
DK,Thad,68,dk
DK,Anub,90,dk
DK,Widow,90,dk
DK,Maex,70,dk
DK,Noth,89,dk
DK,Heigan,79,dk
DK,Loatheb,75,dk
DK,Raz,62,dk
DK,Gothik,77,dk
DK,Four,85,dk
DK,Saph,82,dk
DK,KT,1,dk
druid1,Patch,61,dr
druid1,Grob,75,dr
druid1,Gluth,78,dr
druid1,Thad,75,dr
druid1,Anub,80,dr
druid1,Widow,86,dr
druid1,Maex,79,dr
druid1,Noth,87,dr
druid1,Heigan,77,dr
druid1,Loatheb,76,dr
druid1,Raz,55,dr
druid1,Gothik,64,dr
druid1,Four,82,dr
druid1,Saph,73,dr
druid1,KT,69,dr
