Name,Class,Avg,Anub,Grand Wid,Maexx,Raz,Gothik,Four,Noth,Heig,Loath,Patch,Grob,Gluth,Thad,Saph,KT
Arfie,pa,60,45,53,73,71,74,66,67,62,76,61,74,66,59,19,54
Weygandt,dr,59,63,74,66,54,54,63,58,49,64,57,71,60,47,63,47
Bucklebeary,dr,58,67,70,59,69,50,53,60,60,53,65,61,72,57,34,38
Moehawk,dk,48,70,60,22,58,63,39,62,48,40,58,70,58,42,38,19
Shinaruh,dk,47,62,44,49,48,74,59,53,30,52,54,55,54,43,60,8
Getsomefudge,dk,45,65,66,62,59,40,56,63,18,38,62,72,61,3,22,8
Teano,rg,45,65,69,61,49,28,31,55,70,43,51,66,56,6,11,21
Renray,dr,42,55,57,38,69,79,54,44,34,59,59,64,52,3,8,18
Eggwoll,pa,41,28,49,52,71,47,60,36,12,52,58,56,53,38,4,12
Irtz,sh,41,44,39,46,45,12,55,41,40,37,51,59,50,32,37,5
Dreamivitz,rg,38,51,62,26,62,43,40,45,44,33,47,52,42,33,9,5
Evokelock,wl,33,44,49,44,33,14,61,27,12,12,29,34,37,26,39,29
Duboomie,dr,32,30,33,39,38,37,39,21,24,62,95,95,40,17,24,35
Darkdiesel,dk,31,29,33,29,42,30,38,26,30,29,29,30,38,23,32,33
Kitsunehq,ht,27,23,19,61,28,12,40,15,15,18,15,54,61,25,24,3
Scadattle,wl,21,13,14,21,32,24,41,20,7,20,32,31,12,13,29,23
Papacap,mg,20,32,18,51,17,5,29,17,10,8,29,22,24,13,24,1
Hobbrovsky,dk,38,17,32,20,60,45,38,32,16,17,10,15,27,71,20,53
Padwee,ht,8,11,8,9,9,6,15,10,4,5,8,14,7,1,6,9
Bigwiggy,pa,35,24,9,38,59,21,32,21,42,0,31,60,52,34,42,68
Chundus,wr,24,48,9,66,13,16,23,17,8,8,10,41,32,9,8,40
Jekkus,sh,73,80,82,79,75,60,50,74,91,63,80,84,60,68,81,70
Guldann,sh,71,82,75,81,75,0,70,51,83,25,88,80,89,40,75,91
Cogg,pr,47,40,20,83,54,14,76,76,49,31,46,53,80,0,19,29
Waddlet,pa,39,50,28,20,28,57,69,46,41,33,13,55,80,24,48,26
