Name,Class,Avg,Patch,Grob,Gluth,Thad,Anub,Grand Wid,Maexx,Noth,Heig,Loath,Raz,Gothik,Four,Saph,KT
Chundus,wr,96,99,98,99,98,95,94,98,94,99,98,90,44,96,96,97
Renray,dr,93,99,95,98,98,94,92,98,99,98,91,89,18,91,96,78
Joepepper,wr,90,92,90,82,83,95,96,97,91,92,81,95,78,98,93,78
Moehawk,dk,89,96,80,96,92,97,80,87,90,93,89,79,87,97,91,89
Dreamivitz,rg,87,90,85,74,86,89,92,93,96,89,64,82,77,92,90,80
Evokelock,wl,85,97,82,75,83,68,93,90,84,88,66,80,7,95,84,86
Degeneratez,mg,83,80,89,83,81,86,86,91,87,95,72,77,72,90,79,84
Talhorn,rg,83,88,92,94,82,93,88,69,94,95,55,95,37,90,74,83
Getsomefudge,dk,82,86,81,82,84,94,94,89,79,89,63,82,19,85,81,90
Arfs,wl,81,76,84,90,80,86,72,48,85,84,72,93,21,95,79,86
Irtz,sh,81,99,85,93,77,84,70,90,86,86,65,89,82,92,82,45
Bucklebeary,dr,80,89,83,87,79,88,80,83,83,92,78,69,64,77,78,70
Teano,rg,77,82,68,84,76,95,89,93,80,85,55,79,9,88,75,66
Kelsier,rg,76,73,71,95,79,52,85,91,83,88,62,71,52,65,63,67
Eggwoll,pa,75,79,61,84,89,91,87,86,80,87,72,49,27,91,78,56
Aydub,mg,74,74,51,59,80,89,80,65,87,83,49,76,36,76,76,65
Sunvase,dr,72,65,72,77,80,61,90,72,95,89,39,41,12,76,60,62
Scadattle,wl,68,69,45,82,64,88,27,80,83,78,58,82,5,94,78,44
Khrazed,wl,51,54,50,43,32,53,47,90,76,56,37,74,7,53,7,47
Padwee,ht,35,39,32,39,45,56,21,28,77,61,22,16,5,1,16,20
Hobbrovsky,dk,16,62,22,2,18,30,7,15,8,45,13,13,16,20,18,76
Jekkus,sh,74,75,80,60,61,8,75,50,88,83,91,75,26,50,75,57
Waddlet,pa,68,34,16,95,96,90,95,92,91,82,65,16,72,22,39,60
Cogg,pr,52,10,25,25,78,91,20,25,88,20,88,50,82,20,86,81
Bigwiggy,pa,83,85,84,70,92,71,75,75,92,97,91,91,15,98,91,81
