Name,Class,Avg,Anub,Grand Wid,Maexx,Patch,Grob,Gluth,Thad,Noth,Heig,Loath,Raz,Gothik,Four,Saph,KT
Teano,rg,95,93,98,95,96,98,98,89,99,93,93,97,48,97,97,99
Joepepper,wr,92,97,98,97,96,99,99,98,98,99,99,8,81,99,98,96
Stooks,dr,91,90,95,82,98,98,96,93,99,98,93,46,75,97,94,95
Dreamivitz,rg,90,95,89,95,96,96,98,81,96,97,58,85,24,97,91,95
Moehawk,dk,90,95,98,89,97,94,99,87,98,96,80,50,77,99,93,95
Irtz,sh,88,96,95,96,99,90,91,96,95,97,92,84,62,97,85,24
Renray,dr,88,96,99,65,98,99,98,99,92,90,88,11,24,96,95,89
Eggwoll,pa,87,94,97,95,98,85,99,89,97,95,92,87,15,97,80,54
Getsomefudge,dk,87,77,95,86,97,95,91,95,91,85,72,84,47,97,91,71
Degeneratez,mg,86,92,98,88,94,95,96,84,92,91,91,9,78,97,92,91
Stabher,rg,84,98,91,96,88,85,85,90,98,90,54,85,17,83,78,81
Scadattle,wl,83,74,81,74,76,96,93,65,97,91,65,87,29,91,90,92
Arfs,wl,81,94,99,17,96,94,93,88,94,89,81,7,13,96,89,94
Aydub,mg,81,94,95,90,95,88,95,7,96,92,67,9,42,97,97,95
Kelsier,rg,80,76,80,90,76,83,82,84,91,92,75,62,16,92,76,95
Bucklebeary,dr,79,92,96,89,87,79,75,69,83,91,79,45,41,89,76,66
Darkdiesel,dk,79,89,92,86,93,90,14,81,96,85,68,75,31,95,67,89
Hobbrovsky,dk,71,90,83,75,95,57,83,51,90,89,58,74,26,95,41,86
Khrazed,wl,65,69,40,90,81,63,67,59,85,61,44,73,9,64,62,74
Padwee,ht,50,69,78,9,69,15,29,56,80,55,34,23,6,62,36,58
Chundus,wr,98,99,99,99,99,99,99,99,99,99,99,79,52,99,99,99
Bigwiggy,pa,87,92,95,98,99,99,65,97,99,99,98,3,23,95,96,96
Jekkus,sh,68,8,90,50,75,80,60,40,40,60,85,75,84,76,75,50
Waddlet,pa,68,68,97,64,19,49,17,99,94,60,52,90,66,96,38,53
Cogg,pr,63,40,20,85,10,25,25,81,88,86,56,50,0,96,93,86
